District,lat,long
 Mitte,52.53321645,13.359795660679708
 Moabit,52.5346789,13.3344781
 Hansaviertel,52.519985,13.3480704
 Tiergarten,52.5143746,13.3364504
 Wedding,52.5427866,13.3669996
 Gesundbrunnen,52.5486453,13.3902169
 Friedrichshain,52.5107448,13.4351709
 Kreuzberg,52.5022467,13.395148581915826
 Prenzlauer Berg,52.549243,13.4155955
 Weißensee,52.558329,13.439551280343037
 Blankenburg,52.5933808,13.4459406
 Heinersdorf,52.4298599,13.3291695
 Karow,52.6175864,13.472253
 Stadtrandsiedlung Malchow,52.5741405,13.4825675
 Pankow,52.5832279,13.3990959
 Blankenfelde,52.630218,13.382765
 Buch,52.6358345,13.4916378
 Französisch Buchholz,52.5904369,13.4279617
 Niederschönhausen,52.5832279,13.3990959
 Rosenthal,52.5965954,13.3672402
 Wilhelmsruh,52.5816944,13.3622403
 Charlottenburg,52.5043157,13.3026447
 Wilmersdorf,52.4758015,13.3248541
 Schmargendorf,52.488627,13.3002415
 Grunewald,52.4903556,13.2652322
 Westend,52.5180135,13.2844201
 Charlottenburg-Nord,52.5302785,13.2996666
 Halensee,52.4995482,13.2849417
 Spandau,52.5347694,13.1956287
 Haselhorst,52.53992415,13.22647572492809
 Siemensstadt,52.54949485,13.251369309021582
 Staaken,52.5378111,13.1405355
 Gatow,52.4716772,13.137983048178928
 Kladow,52.4716772,13.137983048178928
 Hakenfelde,52.5514048,13.2097067
 Falkenhagener Feld,52.5579349,13.171478669616778
 Wilhelmstadt,52.5262775,13.1941
 Steglitz,52.4187324,13.1964052
 Lichterfelde,52.4298599,13.3291695
 Lankwitz,52.4387852,13.3420633
 Zehlendorf,52.4310735,13.2585888
 Dahlem,52.4662332,13.2982478
 Nikolassee,52.432055,13.1931603
 Wannsee,52.421199,13.1800603
 Schöneberg,52.4793491,13.3519181
 Friedenau,52.4707164,13.3415003
 Tempelhof,52.4711794,13.3774625
 Mariendorf,52.4460657,13.3618214
 Marienfelde,52.4242122,13.3746844
 Lichtenrade,52.3872834,13.3964905
 Neukölln,52.4454318,13.44345982737298
 Britz,52.4332543,13.416679015987745
 Buckow,52.4332543,13.416679015987745
 Rudow,52.3734113,13.511311109199506
 Gropiusstadt,52.4237677,13.4543467
 Alt-Treptow,52.4938491,13.4618296
 Plänterwald,52.4785887,13.4732395
 Baumschulenweg,52.4694015,13.4863989
 Johannisthal,52.43010605,13.50757285639332
 Niederschöneweide,52.4548738,13.5092508
 Altglienicke,52.4069533,13.5582554
 Adlershof,52.434735,13.5415575
 Bohnsdorf,52.4128789,13.5736378
 Oberschöneweide,52.4789206,13.499754146623557
 Köpenick,52.4567544,13.579214789909031
 Friedrichshagen,52.4573763,13.6232934
 Rahnsdorf,52.4516372,13.6899776
 Grünau,52.4069075,13.5821517
 Müggelheim,52.3889388,13.6832086
 Schmöckwitz,52.3729031,13.696199560265633
 Marzahn,52.5511184,13.676873
 Biesdorf,52.5130873,13.5558463
 Kaulsdorf,52.5121351,13.5901922
 Mahlsdorf,52.5118952,13.6107967
 Hellersdorf,52.4941431,13.7532688
 Friedrichsfelde,52.501410750000005,13.531376724634285
 Karlshorst,52.48613995,13.53984549904963
 Lichtenberg,52.5097832,13.4961404
 Falkenberg,52.4128789,13.5736378
 Malchow,52.579053,13.481764
 Wartenberg,52.572982,13.5038322
 Neu-Hohenschönhausen,52.5662755,13.5124988
 Alt-Hohenschönhausen,52.54170385,13.50135866736111
 Fennpfuhl,52.5385804,13.47019835639551
 Rummelsburg,52.4908073,13.502365
 Reinickendorf,52.60484685,13.288141469652064
 Tegel,52.5881913,13.2896968
 Konradshöhe,52.5856047,13.2319631
 Heiligensee,52.6246647,13.229194
 Frohnau,52.632409,13.2902205
 Hermsdorf,52.6174544,13.3075189
 Waidmannslust,52.6062718,13.321194
 Lübars,52.6129973,13.3422221
 Wittenau,52.597052,13.3342591
 Märkisches Viertel,52.5988754,13.3542118
 Borsigwalde,52.5796552,13.304925588913678
