Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Munich,48.1371079,11.5753822,Arisu,48.140065,11.588438,Korean Restaurant
Munich,48.1371079,11.5753822,Zum Koreaner,48.14922299020489,11.577771792221242,Korean Restaurant
Munich,48.1371079,11.5753822,Kims Restaurant,48.151562813879465,11.562754235439263,Korean Restaurant
Munich,48.1371079,11.5753822,Seoul,48.16665739331694,11.58662398742205,Korean Restaurant
Munich,48.1371079,11.5753822,Yuyumi,48.1305209393202,11.572625736920465,Korean Restaurant
Munich,48.1371079,11.5753822,The Drunken Dragon Bar,48.13201678164722,11.567409992585,Asian Restaurant
Munich,48.1371079,11.5753822,Asia Lebensmittel - Imbiss,48.12994183761466,11.557416155851284,Grocery Store
Munich,48.1371079,11.5753822,Hey Luigi!,48.128838,11.568269,Italian Restaurant
Munich,48.1371079,11.5753822,Gute Nacht Wurst,48.130958359171174,11.574861192090118,Currywurst Joint
Munich,48.1371079,11.5753822,Curry-Banditen,48.12522336058898,11.54929500745278,Currywurst Joint
Munich,48.1371079,11.5753822,Imbiss Niedermeier,48.134067,11.595261,Currywurst Joint
Munich,48.1371079,11.5753822,rudi's currywurschd,48.118858,11.55062,Currywurst Joint
Munich,48.1371079,11.5753822,CurryDise,48.104017,11.531111,Currywurst Joint
Munich,48.1371079,11.5753822,El Gaucho,48.13451230952982,11.577663602938813,Argentinian Restaurant
Munich,48.1371079,11.5753822,Cafe Freiraum,48.13159997728035,11.567487961050446,Argentinian Restaurant
Munich,48.1371079,11.5753822,Rusticana,48.133345,11.610156,Steakhouse
Munich,48.1371079,11.5753822,Sabatini Sportslounge & Grill,48.14680751378037,11.493415832519531,Argentinian Restaurant
Munich,48.1371079,11.5753822,Chopan - am Gasteig,48.131513,11.588731,Afghan Restaurant
Munich,48.1371079,11.5753822,Bamyan Narges,48.13032,11.573597,Afghan Restaurant
Munich,48.1371079,11.5753822,Nigin مطعم افغاني,48.13745123417601,11.569808840177537,Afghan Restaurant
Munich,48.1371079,11.5753822,Kabul Restaurant,48.14570858763358,11.559326710958306,Afghan Restaurant
Munich,48.1371079,11.5753822,Lemar,48.134241884355575,11.584346168747391,Afghan Restaurant
Munich,48.1371079,11.5753822,Bamyan Narges,48.1304871485241,11.570222641683186,Afghan Restaurant
Munich,48.1371079,11.5753822,Chopan,48.16155393995906,11.589291230022656,Afghan Restaurant
Munich,48.1371079,11.5753822,Lemar,48.161736586098094,11.574877062743548,Afghan Restaurant
Munich,48.1371079,11.5753822,Chopan,48.14831364208111,11.543425692223721,Afghan Restaurant
Munich,48.1371079,11.5753822,Lemar,48.13622886872606,11.568874667776106,Afghan Restaurant
Munich,48.1371079,11.5753822,Rumi,48.147441,11.595285,Afghan Restaurant
Munich,48.1371079,11.5753822,Nigin,48.135505290653775,11.571873407601714,Afghan Restaurant
Munich,48.1371079,11.5753822,Khorassan,48.166457038179516,11.590600011358871,Afghan Restaurant
Munich,48.1371079,11.5753822,Afghanisches Restaurant,48.136471,11.557192,Afghan Restaurant
Munich,48.1371079,11.5753822,Kilians,48.13871994658476,11.574555957384717,Irish Pub
Munich,48.1371079,11.5753822,Kennedy's Irish Bar & Restaurant,48.13410057544268,11.567233142186316,Irish Pub
Munich,48.1371079,11.5753822,Irish Folk Pub,48.15533371112182,11.585662303384053,Pub
Munich,48.1371079,11.5753822,Molly Malone's,48.130843,11.594508,Irish Pub
Munich,48.1371079,11.5753822,Ryan's Muddy Boot,48.15003032131677,11.535611350881933,Irish Pub
Munich,48.1371079,11.5753822,Ned Kelly's Australian Bar,48.138631628199796,11.574617577111164,Pub
Munich,48.1371079,11.5753822,The Keg Bar,48.15808,11.58553,Bar
Munich,48.1371079,11.5753822,The Old Irish,48.155502,11.585784,Irish Pub
Munich,48.1371079,11.5753822,Shamrock,48.15777138622825,11.586125003193475,Irish Pub
Munich,48.1371079,11.5753822,Stadion an der Schleißheimer Straße,48.15398102017554,11.561073209273824,Sports Bar
Munich,48.1371079,11.5753822,The Temple Bar,48.12351122422634,11.607751372166305,Pub
Munich,48.1371079,11.5753822,The Victorian House Brown's Tea Bar,48.14994274145202,11.575785499141919,Tea Room
Munich,48.1371079,11.5753822,Dubliner,48.137981851414224,11.57996475204975,Irish Pub
Munich,48.1371079,11.5753822,The Victorian House Sconery & Tea to Go,48.14096799634218,11.576427175500468,Tea Room
Munich,48.1371079,11.5753822,Hofbräuhaus,48.13747954411829,11.580080766955437,Bavarian Restaurant
Munich,48.1371079,11.5753822,Augustiner-Keller,48.14328181182923,11.551845073699951,Bavarian Restaurant
Munich,48.1371079,11.5753822,Ratskeller,48.137582782767645,11.576336940296818,Bavarian Restaurant
Munich,48.1371079,11.5753822,Zum Dürnbräu,48.136292,11.580186,Bavarian Restaurant
Munich,48.1371079,11.5753822,Schneider Bräuhaus,48.136378,11.578446,Bavarian Restaurant
Munich,48.1371079,11.5753822,Spatenhaus an der Oper,48.13970647656288,11.577693348578407,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus zum Straubinger,48.13376,11.574418,Bavarian Restaurant
Munich,48.1371079,11.5753822,Andechser am Dom,48.138302,11.573778,Bavarian Restaurant
Munich,48.1371079,11.5753822,Der Pschorr,48.13482271913493,11.575121283531189,Bavarian Restaurant
Munich,48.1371079,11.5753822,Augustiner Bräustuben,48.13940966666645,11.545401780138443,Bavarian Restaurant
Munich,48.1371079,11.5753822,Paulaner Bräuhaus,48.12639185872661,11.558568452608885,Bavarian Restaurant
Munich,48.1371079,11.5753822,Zum Augustiner,48.13857710671708,11.568805446073561,Bavarian Restaurant
Munich,48.1371079,11.5753822,Nürnberger Bratwurst Glöckl am Dom,48.13819109417412,11.574165237107081,Bavarian Restaurant
Munich,48.1371079,11.5753822,Hofbräukeller,48.13412753916154,11.59562000876261,Bavarian Restaurant
Munich,48.1371079,11.5753822,Andy's Krablergarten,48.13247478824163,11.56694253387582,Bavarian Restaurant
Munich,48.1371079,11.5753822,Görreshof,48.15617242768478,11.561936623190075,Bavarian Restaurant
Munich,48.1371079,11.5753822,Schiller Bräu,48.13669168324538,11.561022641367973,Bavarian Restaurant
Munich,48.1371079,11.5753822,Seehaus im Englischen Garten,48.160578696399064,11.59831702709198,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus in der Au,48.128968,11.58647,German Restaurant
Munich,48.1371079,11.5753822,Augustiner am Dom,48.13818157175851,11.57400961528765,Bavarian Restaurant
Munich,48.1371079,11.5753822,Wirtshaus im Braunauer Hof,48.13472022885251,11.581133430522057,Bavarian Restaurant
Munich,48.1371079,11.5753822,Paulaner im Tal,48.13620645476437,11.578504183315482,Bavarian Restaurant
Munich,48.1371079,11.5753822,Xaver's,48.134004,11.579692,Bavarian Restaurant
Munich,48.1371079,11.5753822,Haxnbauer,48.137532247975926,11.578411416782942,Bavarian Restaurant
Munich,48.1371079,11.5753822,Biergarten am Chinesischen Turm,48.15250081420721,11.592346751349396,Beer Garden
Munich,48.1371079,11.5753822,Zum Stiftl,48.13613885603624,11.579360566663192,Bavarian Restaurant
Munich,48.1371079,11.5753822,Burg Pappenheim,48.130604,11.578267,Bavarian Restaurant
Munich,48.1371079,11.5753822,Gasthaus Isarthor,48.134928,11.583601,German Restaurant
Munich,48.1371079,11.5753822,Zum Spöckmeier,48.13677278279106,11.574078206843117,German Restaurant
Munich,48.1371079,11.5753822,Irmi,48.138739,11.558064,Bavarian Restaurant
Munich,48.1371079,11.5753822,Ayinger am Platzl - Speisen und Trank,48.13792408346771,11.57993015016629,German Restaurant
Munich,48.1371079,11.5753822,Schneider Bräuhaus,48.127607092846816,11.629952922397695,Bavarian Restaurant
Munich,48.1371079,11.5753822,Augustiner Klosterwirt,48.138649448058345,11.572527009723416,German Restaurant
Munich,48.1371079,11.5753822,Alter Simpl,48.15085905162649,11.576340320548328,German Restaurant
Munich,48.1371079,11.5753822,Haidhauser Augustiner,48.129341,11.601388,German Restaurant
