District,lat,long
Allach,48.1378285,11.5745823
Altstadt,48.1959252,11.5718148
Am Hart,48.1338665,11.6663093
Am Moosfeld,48.1823734,11.558598
Am Riesenfeld,48.1287534,11.5861193
Au,48.1584371,11.4140662
Aubing,48.1234833,11.6334511
Berg am Laim,48.1547823,11.6334838
Bogenhausen,48.1496375,11.6493051
Daglfing,48.1504019,11.6416432
Denning,48.1579231,11.6426305
Englschalking,48.0919448,11.596473
Fasangarten,48.2138036,11.5412753
Feldmoching,48.0848354,11.4944766
Forstenried,48.1366708,11.4032274
Freiham,48.1919577,11.6142748
Freimann,48.0889107,11.4804702
Fürstenried,48.1111299,11.5960835
Giesing (Obergiesing),48.1045459,11.5717907
Giesing (Untergiesing),48.118064,11.4818417
Hadern,48.118064,11.4818417
Holzapfelkreuth (Westteil),48.1326788,11.6032448
Haidhausen,48.0882932,11.5650783
Harlaching,48.2134294,11.5549136
Hasenbergl,48.1303398,11.5733658
Isarvorstadt,48.1692948,11.649074
Johanneskirchen,48.1395506,11.5021658
Laim,48.1813564,11.4222561
Langwied,48.1396562,11.5879211
Lehel,48.1801726,11.405779
Lochhausen,48.1317712,11.5558087
Ludwigsvorstadt,48.1465704,11.5714445
Maxvorstadt,48.1823848,11.5750432
Milbertshofen,48.1798949,11.5105712
Moosach,48.1542217,11.5315172
Neuhausen,48.1571237,11.5097031
Nymphenburg,48.1719489,11.6261939
Oberföhring,48.16257,11.4693724
Obermenzing,48.1477854,11.4607008
Pasing,48.1000997,11.6306502
Perlach,48.1141401,11.6142551
Ramersdorf,48.1439688,11.6777725
Riem,48.1439688,11.6777725
Schwabing (Ostteil),48.1581847,11.5849221
Schwabing (Westteil),48.1337822,11.5410566
Schwanthalerhöhe,48.0988952,11.5228073
Sendling (Obersendling),48.0988952,11.5228073
Sendling ( Mittersendling),48.1058711,11.537135111469002
Sendling (Westteil),48.0765906,11.5180779
Solln,48.1378093,11.6124016
Steinhausen,48.1028401,11.5459789
Thalkirchen,48.1260355,11.6633383
Trudering,48.1768839,11.4760583
Untermenzing,48.1416488,11.6386017
